time,hour,date,month,weekday,Price kWh,Price kWh t-1,Price kWh t-2,Price kWh t-3,Price kWh t+1,Price kWh t+2,Price kWh t+3
2022-01-01 09:00:00,9,2022-01-01,1,5,0.09493,0.09511,0.09292,0.0943499999999999,0.09637,0.0942099999999999,0.09422
2022-01-01 10:00:00,10,2022-01-01,1,5,0.09637,0.09493,0.09511,0.09292,0.0942099999999999,0.09422,0.09454
2022-01-01 11:00:00,11,2022-01-01,1,5,0.0942099999999999,0.09637,0.09493,0.09511,0.09422,0.09454,0.0970699999999999
2022-01-01 12:00:00,12,2022-01-01,1,5,0.09422,0.0942099999999999,0.09637,0.09493,0.09454,0.0970699999999999,0.09742
2022-01-01 13:00:00,13,2022-01-01,1,5,0.09454,0.09422,0.0942099999999999,0.09637,0.0970699999999999,0.09742,0.10497
2022-01-01 14:00:00,14,2022-01-01,1,5,0.0970699999999999,0.09454,0.09422,0.0942099999999999,0.09742,0.10497,0.11411
2022-01-01 15:00:00,15,2022-01-01,1,5,0.09742,0.0970699999999999,0.09454,0.09422,0.10497,0.11411,0.11425
2022-01-01 16:00:00,16,2022-01-01,1,5,0.10497,0.09742,0.0970699999999999,0.09454,0.11411,0.11425,0.10881
2022-01-01 17:00:00,17,2022-01-01,1,5,0.11411,0.10497,0.09742,0.0970699999999999,0.11425,0.10881,0.10522
2022-01-01 18:00:00,18,2022-01-01,1,5,0.11425,0.11411,0.10497,0.09742,0.10881,0.10522,0.10356
2022-01-01 19:00:00,19,2022-01-01,1,5,0.10881,0.11425,0.11411,0.10497,0.10522,0.10356,0.10068
2022-01-01 20:00:00,20,2022-01-01,1,5,0.10522,0.10881,0.11425,0.11411,0.10356,0.10068,0.09304
2022-01-01 21:00:00,21,2022-01-01,1,5,0.10356,0.10522,0.10881,0.11425,0.10068,0.09304,0.08522
2022-01-01 22:00:00,22,2022-01-01,1,5,0.10068,0.10356,0.10522,0.10881,0.09304,0.08522,0.08358
2022-01-01 23:00:00,23,2022-01-01,1,5,0.09304,0.10068,0.10356,0.10522,0.08522,0.08358,0.0805
2022-01-02 00:00:00,0,2022-01-02,1,6,0.08522,0.09304,0.10068,0.10356,0.08358,0.0805,0.07914
2022-01-02 01:00:00,1,2022-01-02,1,6,0.08358,0.08522,0.09304,0.10068,0.0805,0.07914,0.07757
2022-01-02 02:00:00,2,2022-01-02,1,6,0.0805,0.08358,0.08522,0.09304,0.07914,0.07757,0.07989
2022-01-02 03:00:00,3,2022-01-02,1,6,0.07914,0.0805,0.08358,0.08522,0.07757,0.07989,0.0838199999999999
2022-01-02 04:00:00,4,2022-01-02,1,6,0.07757,0.07914,0.0805,0.08358,0.07989,0.0838199999999999,0.08003
2022-01-02 05:00:00,5,2022-01-02,1,6,0.07989,0.07757,0.07914,0.0805,0.0838199999999999,0.08003,0.0842
2022-01-02 06:00:00,6,2022-01-02,1,6,0.0838199999999999,0.07989,0.07757,0.07914,0.08003,0.0842,0.08794
2022-01-02 07:00:00,7,2022-01-02,1,6,0.08003,0.0838199999999999,0.07989,0.07757,0.0842,0.08794,0.09243
2022-01-02 08:00:00,8,2022-01-02,1,6,0.0842,0.08003,0.0838199999999999,0.07989,0.08794,0.09243,0.09186
2022-01-02 09:00:00,9,2022-01-02,1,6,0.08794,0.0842,0.08003,0.0838199999999999,0.09243,0.09186,0.08597
2022-01-02 10:00:00,10,2022-01-02,1,6,0.09243,0.08794,0.0842,0.08003,0.09186,0.08597,0.08533
2022-01-02 11:00:00,11,2022-01-02,1,6,0.09186,0.09243,0.08794,0.0842,0.08597,0.08533,0.08536
2022-01-02 12:00:00,12,2022-01-02,1,6,0.08597,0.09186,0.09243,0.08794,0.08533,0.08536,0.08934
2022-01-02 13:00:00,13,2022-01-02,1,6,0.08533,0.08597,0.09186,0.09243,0.08536,0.08934,0.0923799999999999
